id_transaccion,id_producto,cantidad,fecha
1001,101,2,2026-01-05
1002,103,1,05/01/2026
1003,102,3,2026-01-07
1004,105,1,08/01/2026
1005,101,1,2026-01-10
1006,104,,11/01/2026
1007,106,2,2026-01-12
1008,102,1,13/01/2026
1009,103,2,2026-01-14
1010,107,1,15/01/2026
1011,999,2,2026-01-16
1012,105,1,17/01/2026
1013,108,4,2026-01-18
1014,101,2,19/01/2026
1015,104,1,2026-01-20
1016,106,3,21/01/2026
1017,107,2,2026-01-22
1018,108,1,23/01/2026
1019,103,1,2026-01-24
1020,102,2,25/01/2026
1020,102,2,25/01/2026
